id;questao_titulo;alternativa_a;alternativa_b;alternativa_c;alternativa_d;nivel_idade;assunto;alternativa_certa
1;Casa monetize framework;client-driven Chapéu;bordô;e-markets edge;mindshare background optical;57517;CIENCIAS;D
2;JBOD Macio Borders;ROI generating;deploy Santo convergence;Specialist bluetooth Euro;Cambridgeshire;1098;INGLES;D
3;enable Computador dourado;Algodão invoice compress;Indian Loan;IB Myanmar;Customer Inteligente deposit;30388;PORTUGUES;B
4;marinho Macio;payment;Consultant fúchsia;Frango Implementation Algodão;algorithm;141;INGLES;A
5;utilize;ADP;impactful Somoni Dollar;Fresco;Espírito bandwidth Chapéu;7848;ATUALIDADES;D
6;Salada Rústico Fantástico;jade;relationships Bôsnia Refinado;Pequeno pixel Account;Brinquedos Savings interface;71649;GEOGRAFIA;A
7;Internal;drive;Managed Intranet context-sensitive;back-end deposit;XSS solutions;21285;HISTORIA;C
8;digital;Bedfordshire Filmes de;Technician Open-source;SDD;Paraíba reintermediate Kwacha;56658;PORTUGUES;D
9;Program;real-time;Ruble parse strategic;Pernambuco;HDD;55658;INGLES;A
10;Goiás Eletrônicos bleeding-edge;Salsicha Bedfordshire;Usability paradigms;primary Jogos;mobile payment;61308;PORTUGUES;A
